Date,Open,High,Low,Close,Volume,Adj Close
1963-09-03,72.50,73.87,71.28,71.70,5517500,71.70
1963-08-01,69.13,72.71,68.64,72.50,4373100,72.50
1963-07-01,69.37,70.48,67.54,69.13,3648600,69.13
1963-06-03,70.80,71.24,68.78,69.37,4680000,69.37
1963-05-01,69.80,71.14,69.03,70.80,4988600,70.80
1963-04-01,66.57,70.18,66.23,69.80,5284200,69.80
1963-03-01,64.29,67.01,63.80,66.57,3721400,66.57
1963-02-01,66.31,66.96,64.08,64.29,4379400,64.29
1963-01-02,63.10,66.59,62.32,66.20,4829000,66.20
1962-12-03,62.26,63.50,61.28,63.10,4314500,63.10
1962-11-01,56.52,62.78,55.90,62.26,5029500,62.26
1962-10-01,56.27,57.83,52.55,56.52,3555600,56.52
1962-09-04,59.12,59.54,55.53,56.27,3460000,56.27
1962-08-01,58.23,60.33,56.76,59.12,3618600,59.12
1962-07-02,54.75,58.67,54.47,58.23,3730900,58.23
1962-06-01,59.63,59.96,51.35,54.75,4994200,54.75
1962-05-01,65.24,66.93,53.13,59.63,5533600,59.63
1962-04-02,69.55,69.82,64.95,65.24,3469500,65.24
1962-03-01,69.96,71.44,69.16,69.55,3245000,69.55
1962-02-01,68.84,71.13,68.56,69.96,3640000,69.96
1962-01-02,71.55,71.96,67.55,68.84,3846800,68.84
1961-12-01,71.78,72.64,70.86,71.55,4387500,71.55
1961-11-01,68.73,71.85,68.73,71.32,4599000,71.32
1961-10-02,66.77,68.62,66.73,68.62,3469500,68.62
1961-09-01,68.19,68.46,65.77,66.73,3344000,66.73
1961-08-01,67.37,68.44,66.94,68.07,3670000,68.07
1961-07-03,65.21,66.76,64.41,66.76,3200500,66.76
1961-06-01,66.56,67.08,64.47,64.64,3430400,64.64
1961-05-01,65.17,67.39,65.17,66.56,4821900,66.56
1961-04-03,65.60,68.68,64.40,65.31,5273500,65.31
1961-03-01,63.43,65.06,63.38,65.06,5484500,65.06
1961-02-01,61.90,63.44,61.14,63.44,5187300,63.44
1961-01-03,57.57,61.97,57.57,61.78,4461900,61.78
1960-12-01,55.30,58.11,55.30,58.11,3934700,58.11
1960-11-01,53.94,56.43,53.94,55.54,3254500,55.54
1960-10-03,53.36,54.86,52.20,53.39,2706100,53.39
1960-09-01,57.09,57.09,52.48,53.52,3057600,53.52
1960-08-01,55.53,58.07,54.72,56.96,2976500,56.96
1960-07-01,57.06,57.38,54.17,55.51,2829500,55.51
1960-06-01,55.89,58.00,55.89,56.92,3610000,56.92
1960-05-02,54.13,55.83,54.13,55.83,3454200,55.83
1960-04-01,55.43,56.59,54.37,54.37,3007500,54.37
1960-03-01,56.01,56.01,53.47,55.34,2973900,55.34
1960-02-01,55.96,56.82,54.73,56.12,3174500,56.12
1960-01-04,59.91,60.39,55.61,55.61,3349000,55.61
1959-12-01,58.70,59.89,58.60,59.89,3455400,59.89
1959-11-02,57.41,58.28,56.22,58.28,3587800,58.28
1959-10-01,56.94,57.52,56.00,57.52,2949500,57.52
1959-09-01,58.87,58.92,55.14,56.88,2873800,56.88
